Periodo,Euribor_1y,IdPeriodo,Int_rate,Año,Mes
ENE 1999,3.062,199901,2.435483870967742,1999,01
FEB 1999,3.03,199902,2.0,1999,02
MAR 1999,3.046,199903,2.0,1999,03
ABR 1999,2.756,199904,1.6333333333333333,1999,04
MAY 1999,2.683,199905,1.5,1999,05
JUN 1999,2.836,199906,1.5,1999,06
JUL 1999,3.03,199907,1.5,1999,07
AGO 1999,3.237,199908,1.5,1999,08
SEP 1999,3.301,199909,1.5,1999,09
OCT 1999,3.684,199910,1.5,1999,10
NOV 1999,3.689,199911,1.9333333333333333,1999,11
DIC 1999,3.826,199912,2.0,1999,12
ENE 2000,3.949,200001,2.0,2000,01
FEB 2000,4.111,200002,2.2241379310344827,2000,02
MAR 2000,4.267,200003,2.370967741935484,2000,03
ABR 2000,4.365,200004,2.525,2000,04
MAY 2000,4.849,200005,2.75,2000,05
JUN 2000,4.965,200006,3.1166666666666667,2000,06
JUL 2000,5.105,200007,3.25,2000,07
AGO 2000,5.248,200008,3.25,2000,08
SEP 2000,5.219,200009,3.5,2000,09
OCT 2000,5.218,200010,3.7096774193548385,2000,10
NOV 2000,5.193,200011,3.75,2000,11
DIC 2000,4.881,200012,3.75,2000,12
ENE 2001,4.574,200101,3.75,2001,01
FEB 2001,4.591,200102,3.75,2001,02
MAR 2001,4.471,200103,3.75,2001,03
ABR 2001,4.481,200104,3.75,2001,04
MAY 2001,4.52,200105,3.5806451612903225,2001,05
JUN 2001,4.312,200106,3.5,2001,06
JUL 2001,4.311,200107,3.5,2001,07
AGO 2001,4.108,200108,3.4919354838709675,2001,08
SEP 2001,3.77,200109,3.033333333333333,2001,09
OCT 2001,3.369,200110,2.75,2001,10
NOV 2001,3.198,200111,2.3833333333333333,2001,11
DIC 2001,3.298,200112,2.25,2001,12
ENE 2002,3.483,200201,2.25,2002,01
FEB 2002,3.594,200202,2.25,2002,02
MAR 2002,3.816,200203,2.25,2002,03
ABR 2002,3.86,200204,2.25,2002,04
MAY 2002,3.963,200205,2.25,2002,05
JUN 2002,3.869,200206,2.25,2002,06
JUL 2002,3.645,200207,2.25,2002,07
AGO 2002,3.44,200208,2.25,2002,08
SEP 2002,3.236,200209,2.25,2002,09
OCT 2002,3.126,200210,2.25,2002,10
NOV 2002,3.017,200211,2.25,2002,11
DIC 2002,2.873,200212,1.8306451612903225,2002,12
ENE 2003,2.705,200301,1.75,2003,01
FEB 2003,2.504,200302,1.75,2003,02
MAR 2003,2.411,200303,1.5483870967741935,2003,03
ABR 2003,2.447,200304,1.5,2003,04
MAY 2003,2.252,200305,1.5,2003,05
JUN 2003,2.014,200306,1.0833333333333333,2003,06
JUL 2003,2.076,200307,1.0,2003,07
AGO 2003,2.279,200308,1.0,2003,08
SEP 2003,2.258,200309,1.0,2003,09
OCT 2003,2.303,200310,1.0,2003,10
NOV 2003,2.41,200311,1.0,2003,11
DIC 2003,2.381,200312,1.0,2003,12
ENE 2004,2.216,200401,1.0,2004,01
FEB 2004,2.163,200402,1.0,2004,02
MAR 2004,2.055,200403,1.0,2004,03
ABR 2004,2.163,200404,1.0,2004,04
MAY 2004,2.297,200405,1.0,2004,05
JUN 2004,2.404,200406,1.0,2004,06
JUL 2004,2.361,200407,1.0,2004,07
AGO 2004,2.302,200408,1.0,2004,08
SEP 2004,2.377,200409,1.0,2004,09
OCT 2004,2.316,200410,1.0,2004,10
NOV 2004,2.328,200411,1.0,2004,11
DIC 2004,2.301,200412,1.0,2004,12
ENE 2005,2.312,200501,1.0,2005,01
FEB 2005,2.31,200502,1.0,2005,02
MAR 2005,2.335,200503,1.0,2005,03
ABR 2005,2.265,200504,1.0,2005,04
MAY 2005,2.193,200505,1.0,2005,05
JUN 2005,2.103,200506,1.0,2005,06
JUL 2005,2.168,200507,1.0,2005,07
AGO 2005,2.223,200508,1.0,2005,08
SEP 2005,2.219,200509,1.0,2005,09
OCT 2005,2.414,200510,1.0,2005,10
NOV 2005,2.684,200511,1.0,2005,11
DIC 2005,2.783,200512,1.2096774193548387,2005,12
ENE 2006,2.833,200601,1.25,2006,01
FEB 2006,2.914,200602,1.25,2006,02
MAR 2006,3.105,200603,1.4435483870967742,2006,03
ABR 2006,3.221,200604,1.5,2006,04
MAY 2006,3.308,200605,1.5,2006,05
JUN 2006,3.401,200606,1.6333333333333333,2006,06
JUL 2006,3.539,200607,1.75,2006,07
AGO 2006,3.615,200608,1.935483870967742,2006,08
SEP 2006,3.715,200609,2.0,2006,09
OCT 2006,3.799,200610,2.1693548387096775,2006,10
NOV 2006,3.864,200611,2.25,2006,11
DIC 2006,3.921,200612,2.403225806451613,2006,12
ENE 2007,4.064,200701,2.5,2007,01
FEB 2007,4.094,200702,2.5,2007,02
MAR 2007,4.106,200703,2.6451612903225805,2007,03
ABR 2007,4.253,200704,2.75,2007,04
MAY 2007,4.373,200705,2.75,2007,05
JUN 2007,4.505,200706,2.9,2007,06
JUL 2007,4.564,200707,3.0,2007,07
AGO 2007,4.666,200708,3.0,2007,08
SEP 2007,4.724,200709,3.0,2007,09
OCT 2007,4.647,200710,3.0,2007,10
NOV 2007,4.607,200711,3.0,2007,11
DIC 2007,4.793,200712,3.0,2007,12
ENE 2008,4.498,200801,3.0,2008,01
FEB 2008,4.349,200802,3.0,2008,02
MAR 2008,4.59,200803,3.0,2008,03
ABR 2008,4.82,200804,3.0,2008,04
MAY 2008,4.994,200805,3.0,2008,05
JUN 2008,5.361,200806,3.0,2008,06
JUL 2008,5.393,200807,3.185483870967742,2008,07
AGO 2008,5.323,200808,3.25,2008,08
SEP 2008,5.384,200809,3.25,2008,09
OCT 2008,5.248,200810,3.2338709677419355,2008,10
NOV 2008,4.35,200811,2.933333333333333,2008,11
DIC 2008,3.452,200812,2.217741935483871,2008,12
ENE 2009,2.622,200901,1.6451612903225807,2009,01
FEB 2009,2.135,200902,1.0,2009,02
MAR 2009,1.909,200903,0.6612903225806451,2009,03
ABR 2009,1.771,200904,0.30833333333333335,2009,04
MAY 2009,1.644,200905,0.25,2009,05
JUN 2009,1.61,200906,0.25,2009,06
JUL 2009,1.412,200907,0.25,2009,07
AGO 2009,1.334,200908,0.25,2009,08
SEP 2009,1.261,200909,0.25,2009,09
OCT 2009,1.243,200910,0.25,2009,10
NOV 2009,1.231,200911,0.25,2009,11
DIC 2009,1.242,200912,0.25,2009,12
ENE 2010,1.232,201001,0.25,2010,01
FEB 2010,1.225,201002,0.25,2010,02
MAR 2010,1.215,201003,0.25,2010,03
ABR 2010,1.225,201004,0.25,2010,04
MAY 2010,1.249,201005,0.25,2010,05
JUN 2010,1.281,201006,0.25,2010,06
JUL 2010,1.373,201007,0.25,2010,07
AGO 2010,1.421,201008,0.25,2010,08
SEP 2010,1.42,201009,0.25,2010,09
OCT 2010,1.495,201010,0.25,2010,10
NOV 2010,1.54,201011,0.25,2010,11
DIC 2010,1.526,201012,0.25,2010,12
ENE 2011,1.55,201101,0.25,2011,01
FEB 2011,1.714,201102,0.25,2011,02
MAR 2011,1.924,201103,0.25,2011,03
ABR 2011,2.086,201104,0.4,2011,04
MAY 2011,2.147,201105,0.5,2011,05
JUN 2011,2.144,201106,0.5,2011,06
JUL 2011,2.183,201107,0.6532258064516129,2011,07
AGO 2011,2.097,201108,0.75,2011,08
SEP 2011,2.067,201109,0.75,2011,09
OCT 2011,2.11,201110,0.75,2011,10
NOV 2011,2.044,201111,0.5666666666666667,2011,11
DIC 2011,2.004,201112,0.3548387096774194,2011,12
ENE 2012,1.837,201201,0.25,2012,01
FEB 2012,1.678,201202,0.25,2012,02
MAR 2012,1.499,201203,0.25,2012,03
ABR 2012,1.368,201204,0.25,2012,04
MAY 2012,1.266,201205,0.25,2012,05
JUN 2012,1.219,201206,0.25,2012,06
JUL 2012,1.061,201207,0.08064516129032258,2012,07
