Periodo_x,Euribor_1y,IdPeriodo,Int_rate,Año,Mes,Periodo_y,Número_hipotecas,Importe_(Miles€)
ENE 1999,3.062,199901,2.435483870967742,1999,01,,,
FEB 1999,3.03,199902,2.0,1999,02,,,
MAR 1999,3.046,199903,2.0,1999,03,,,
ABR 1999,2.756,199904,1.6333333333333333,1999,04,,,
MAY 1999,2.683,199905,1.5,1999,05,,,
JUN 1999,2.836,199906,1.5,1999,06,,,
JUL 1999,3.03,199907,1.5,1999,07,,,
AGO 1999,3.237,199908,1.5,1999,08,,,
SEP 1999,3.301,199909,1.5,1999,09,,,
OCT 1999,3.684,199910,1.5,1999,10,,,
NOV 1999,3.689,199911,1.9333333333333333,1999,11,,,
DIC 1999,3.826,199912,2.0,1999,12,,,
ENE 2000,3.949,200001,2.0,2000,01,,,
FEB 2000,4.111,200002,2.2241379310344827,2000,02,,,
MAR 2000,4.267,200003,2.370967741935484,2000,03,,,
ABR 2000,4.365,200004,2.525,2000,04,,,
MAY 2000,4.849,200005,2.75,2000,05,,,
JUN 2000,4.965,200006,3.1166666666666667,2000,06,,,
JUL 2000,5.105,200007,3.25,2000,07,,,
AGO 2000,5.248,200008,3.25,2000,08,,,
SEP 2000,5.219,200009,3.5,2000,09,,,
OCT 2000,5.218,200010,3.7096774193548385,2000,10,,,
NOV 2000,5.193,200011,3.75,2000,11,,,
DIC 2000,4.881,200012,3.75,2000,12,,,
ENE 2001,4.574,200101,3.75,2001,01,,,
FEB 2001,4.591,200102,3.75,2001,02,,,
MAR 2001,4.471,200103,3.75,2001,03,,,
ABR 2001,4.481,200104,3.75,2001,04,,,
MAY 2001,4.52,200105,3.5806451612903225,2001,05,,,
JUN 2001,4.312,200106,3.5,2001,06,,,
JUL 2001,4.311,200107,3.5,2001,07,,,
AGO 2001,4.108,200108,3.4919354838709675,2001,08,,,
SEP 2001,3.77,200109,3.033333333333333,2001,09,,,
OCT 2001,3.369,200110,2.75,2001,10,,,
NOV 2001,3.198,200111,2.3833333333333333,2001,11,,,
DIC 2001,3.298,200112,2.25,2001,12,,,
ENE 2002,3.483,200201,2.25,2002,01,,,
FEB 2002,3.594,200202,2.25,2002,02,,,
MAR 2002,3.816,200203,2.25,2002,03,,,
ABR 2002,3.86,200204,2.25,2002,04,,,
MAY 2002,3.963,200205,2.25,2002,05,,,
JUN 2002,3.869,200206,2.25,2002,06,,,
JUL 2002,3.645,200207,2.25,2002,07,,,
AGO 2002,3.44,200208,2.25,2002,08,,,
SEP 2002,3.236,200209,2.25,2002,09,,,
OCT 2002,3.126,200210,2.25,2002,10,,,
NOV 2002,3.017,200211,2.25,2002,11,,,
DIC 2002,2.873,200212,1.8306451612903225,2002,12,,,
ENE 2003,2.705,200301,1.75,2003,01,2003M01,89642.0,7937543.0
FEB 2003,2.504,200302,1.75,2003,02,2003M02,88381.0,8223451.0
MAR 2003,2.411,200303,1.5483870967741935,2003,03,2003M03,85577.0,8014597.0
ABR 2003,2.447,200304,1.5,2003,04,2003M04,77475.0,7052532.0
MAY 2003,2.252,200305,1.5,2003,05,2003M05,86628.0,8242910.0
JUN 2003,2.014,200306,1.0833333333333333,2003,06,2003M06,82968.0,8104999.0
JUL 2003,2.076,200307,1.0,2003,07,2003M07,83387.0,8193956.0
AGO 2003,2.279,200308,1.0,2003,08,2003M08,67572.0,6974476.0
SEP 2003,2.258,200309,1.0,2003,09,2003M09,86018.0,8809896.0
OCT 2003,2.303,200310,1.0,2003,10,2003M10,90806.0,9179231.0
NOV 2003,2.41,200311,1.0,2003,11,2003M11,78483.0,8095652.0
DIC 2003,2.381,200312,1.0,2003,12,2003M12,72502.0,7346318.0
ENE 2004,2.216,200401,1.0,2004,01,2004M01,91914.0,9557085.0
FEB 2004,2.163,200402,1.0,2004,02,2004M02,92586.0,9856869.0
MAR 2004,2.055,200403,1.0,2004,03,2004M03,98670.0,10607964.0
ABR 2004,2.163,200404,1.0,2004,04,2004M04,85190.0,9074517.0
MAY 2004,2.297,200405,1.0,2004,05,2004M05,98993.0,10586369.0
JUN 2004,2.404,200406,1.0,2004,06,2004M06,98239.0,10693614.0
JUL 2004,2.361,200407,1.0,2004,07,2004M07,93946.0,10610556.0
AGO 2004,2.302,200408,1.0,2004,08,2004M08,83484.0,9421553.0
SEP 2004,2.377,200409,1.0,2004,09,2004M09,98872.0,11470295.0
OCT 2004,2.316,200410,1.0,2004,10,2004M10,89592.0,10130621.0
NOV 2004,2.328,200411,1.0,2004,11,2004M11,92631.0,10492575.0
DIC 2004,2.301,200412,1.0,2004,12,2004M12,83547.0,9645433.0
ENE 2005,2.312,200501,1.0,2005,01,2005M01,104256.0,12016124.0
FEB 2005,2.31,200502,1.0,2005,02,2005M02,101882.0,12341604.0
MAR 2005,2.335,200503,1.0,2005,03,2005M03,97164.0,11959187.0
ABR 2005,2.265,200504,1.0,2005,04,2005M04,108238.0,13058746.0
MAY 2005,2.193,200505,1.0,2005,05,2005M05,108144.0,12937805.0
JUN 2005,2.103,200506,1.0,2005,06,2005M06,112619.0,13893783.0
JUL 2005,2.168,200507,1.0,2005,07,2005M07,97465.0,12196063.0
AGO 2005,2.223,200508,1.0,2005,08,2005M08,91499.0,11858234.0
SEP 2005,2.219,200509,1.0,2005,09,2005M09,129128.0,16911282.0
OCT 2005,2.414,200510,1.0,2005,10,2005M10,102511.0,13045045.0
NOV 2005,2.684,200511,1.0,2005,11,2005M11,107327.0,13885955.0
DIC 2005,2.783,200512,1.2096774193548387,2005,12,2005M12,97380.0,12842612.0
ENE 2006,2.833,200601,1.25,2006,01,2006M01,124244.0,16252334.0
FEB 2006,2.914,200602,1.25,2006,02,2006M02,114617.0,15530626.0
MAR 2006,3.105,200603,1.4435483870967742,2006,03,2006M03,127233.0,17485062.0
ABR 2006,3.221,200604,1.5,2006,04,2006M04,97124.0,13548584.0
MAY 2006,3.308,200605,1.5,2006,05,2006M05,126137.0,17698211.0
JUN 2006,3.401,200606,1.6333333333333333,2006,06,2006M06,123081.0,17244991.0
JUL 2006,3.539,200607,1.75,2006,07,2006M07,107143.0,15354112.0
AGO 2006,3.615,200608,1.935483870967742,2006,08,2006M08,98384.0,14147113.0
SEP 2006,3.715,200609,2.0,2006,09,2006M09,114685.0,16678076.0
OCT 2006,3.799,200610,2.1693548387096775,2006,10,2006M10,111393.0,15952901.0
NOV 2006,3.864,200611,2.25,2006,11,2006M11,111523.0,15992962.0
DIC 2006,3.921,200612,2.403225806451613,2006,12,2006M12,86607.0,12454140.0
ENE 2007,4.064,200701,2.5,2007,01,2007M01,124826.0,18473478.0
FEB 2007,4.094,200702,2.5,2007,02,2007M02,109769.0,16490001.0
MAR 2007,4.106,200703,2.6451612903225805,2007,03,2007M03,116651.0,17146412.0
ABR 2007,4.253,200704,2.75,2007,04,2007M04,97492.0,14425091.0
MAY 2007,4.373,200705,2.75,2007,05,2007M05,118669.0,17854601.0
JUN 2007,4.505,200706,2.9,2007,06,2007M06,111139.0,16449745.0
JUL 2007,4.564,200707,3.0,2007,07,2007M07,104808.0,15701005.0
AGO 2007,4.666,200708,3.0,2007,08,2007M08,90763.0,13839721.0
SEP 2007,4.724,200709,3.0,2007,09,2007M09,102131.0,15411789.0
OCT 2007,4.647,200710,3.0,2007,10,2007M10,97586.0,14591941.0
NOV 2007,4.607,200711,3.0,2007,11,2007M11,93262.0,13715860.0
DIC 2007,4.793,200712,3.0,2007,12,2007M12,71794.0,10327515.0
ENE 2008,4.498,200801,3.0,2008,01,2008M01,93838.0,13509584.0
FEB 2008,4.349,200802,3.0,2008,02,2008M02,81997.0,12211612.0
MAR 2008,4.59,200803,3.0,2008,03,2008M03,70210.0,9995946.0
ABR 2008,4.82,200804,3.0,2008,04,2008M04,86127.0,12087399.0
